Preset,Purity,Utility,Decay,Radius,X,Y,Z,Score,Spawn,SpawnDistance
"Phase 2: Steel & Coal","Default","Leontief","Linear",700,-112403.56,-145415.56,1664.30,0.2944,"Rocky Desert",1032.11
"Phase 2: Steel & Coal","Default","Linear","Gaussian",700,328727.00,-139478.88,4064.68,41.4003,"Dune Desert",1133.39
"Phase 2: Steel & Coal","Default","Linear","Exponential",700,329376.83,-134363.32,4675.69,29.9843,"Dune Desert",1170.86
"Phase 2: Steel & Coal","Default","Linear","Power-Law",700,329104.47,-133850.69,4737.26,43.0559,"Dune Desert",1172.11
"Phase 2: Steel & Coal","Default","Linear","Linear",700,324693.36,-145109.92,4138.21,12.4300,"Dune Desert",1066.94
"Phase 2: Steel & Coal","Normal","Cobb-Douglas","Gaussian",700,336873.48,-173458.64,4671.36,14109.4641,"Dune Desert",1035.36
"Phase 2: Steel & Coal","Normal","Cobb-Douglas","Exponential",700,333743.95,-135350.90,4667.77,2690.9069,"Dune Desert",1198.35
"Phase 2: Steel & Coal","Normal","Cobb-Douglas","Power-Law",700,240787.68,-74894.07,4864.11,27698.0298,"Dune Desert",1351.08
"Phase 2: Steel & Coal","Normal","Cobb-Douglas","Linear",700,358916.06,-135453.69,5428.04,13.5127,"Dune Desert",1403.50
"Phase 2: Steel & Coal","Normal","Leontief","Gaussian",700,-45738.40,-106257.30,2641.25,0.4380,"Northern Forest",485.42
"Phase 2: Steel & Coal","Normal","Leontief","Exponential",700,383913.77,88371.61,1450.42,0.9411,"Dune Desert",3312.65
"Phase 2: Steel & Coal","Normal","Leontief","Power-Law",700,-254551.00,276987.00,-663.01,1.3750,"Grass Fields",1492.08
"Phase 2: Steel & Coal","Normal","Leontief","Linear",700,-57275.70,-118646.60,4125.50,0.2569,"Northern Forest",640.40
"Phase 2: Steel & Coal","Normal","Linear","Gaussian",700,333233.42,-135638.49,4506.01,34.1618,"Dune Desert",1192.56
"Phase 2: Steel & Coal","Normal","Linear","Exponential",700,329379.10,-134366.66,4675.28,23.7871,"Dune Desert",1170.86
